pH,EC,Organic Carbon(OC),Available Nitrogen(N),Available Phosphorus(P),Available Potassium(K),Available Sulphur(S),Available Zinc(Zn),Available Boron(B),Available Iron(Fe),Available Manganese(Mn),Available Copper(Cu),Fertility
7.44,0.23,0.8,160.0,5.82,281.0,10.17,0.47,0.12,0.79,0.53,0.67,1.0
7.23,0.3,0.89,178.0,5.73,394.0,9.09,0.33,0.09,0.67,0.46,0.51,0.0
7.32,0.24,0.6,120.0,6.27,295.0,10.04,0.38,0.1,0.73,0.33,0.48,1.0
8.02,0.44,1.09,248.0,4.3,304.0,8.15,0.59,0.1,0.84,0.72,0.22,0.0
7.58,0.14,0.74,140.0,5.37,312.0,6.24,0.51,0.12,0.61,0.68,0.34,0.0
7.09,1.14,0.57,114.0,8.87,261.0,8.61,0.62,0.14,0.72,0.41,0.41,0.0
7.04,0.31,0.97,184.0,9.31,225.0,9.25,0.52,0.15,0.65,0.54,0.49,0.0
7.55,0.51,1.18,267.0,8.69,212.0,10.17,0.75,0.1,0.68,0.69,0.36,1.0
7.81,0.34,0.72,140.0,7.88,268.0,12.25,0.91,0.09,0.79,0.84,0.28,1.0
7.89,0.28,0.86,160.0,6.8,305.0,11.17,0.69,0.11,0.84,0.52,0.2,1.0
7.66,0.39,0.46,90.0,6.09,312.0,12.44,0.35,0.34,0.5,0.41,0.35,0.0
7.61,0.29,0.92,180.0,5.73,319.0,13.25,0.42,0.16,0.72,0.33,0.41,0.0
7.44,0.23,0.66,136.0,8.69,302.0,10.12,0.52,0.12,0.61,0.63,0.39,1.0
7.33,0.3,1.03,246.0,4.12,269.0,9.17,0.69,0.07,0.89,0.75,0.23,1.0
7.32,0.24,0.43,86.0,5.37,280.0,8.21,0.74,0.1,0.92,0.81,0.18,0.0
7.41,0.33,0.6,120.0,6.89,275.0,4.15,0.64,0.12,1.02,0.79,0.28,1.0
7.41,0.51,0.86,172.0,6.09,267.0,5.78,0.53,0.16,0.65,0.62,0.34,0.0
8.11,0.34,0.54,108.0,5.46,278.0,6.71,0.41,0.09,0.87,0.54,0.28,0.0
8.15,0.38,0.8,160.0,6.45,232.0,8.23,0.33,0.13,1.12,0.59,0.24,0.0
8.44,0.28,0.72,144.0,6.8,304.0,8.39,0.54,0.16,0.89,0.42,0.27,0.0
8.9,0.35,0.4,80.0,6.09,309.0,9.03,0.6,0.1,0.7,0.54,0.58,0.0
7.9,0.18,1.06,246.0,7.52,312.0,10.67,0.54,0.11,0.61,0.72,0.25,0.0
7.94,0.59,0.43,86.0,5.82,318.0,11.08,0.65,0.18,0.72,0.89,0.18,0.0
7.74,0.29,0.69,138.0,5.73,304.0,8.75,0.74,0.09,0.83,0.82,0.16,0.0
7.44,0.57,1.08,246.0,6.27,290.0,9.17,0.82,0.13,0.6,0.7,0.23,1.0
7.71,0.24,0.51,102.0,8.69,289.0,8.25,0.79,0.1,0.54,0.61,0.34,0.0
7.8,0.41,0.96,192.0,4.3,270.0,7.11,0.82,0.07,0.89,0.44,0.46,0.0
7.75,0.33,0.9,180.0,4.12,283.0,5.75,0.75,0.13,0.7,0.39,0.58,0.0
7.66,0.37,0.96,192.0,4.21,290.0,6.79,0.66,0.15,0.55,0.57,0.49,0.0
7.77,0.47,0.81,160.0,5.37,273.0,8.4,0.85,0.1,0.62,0.22,0.53,0.0
7.47,0.44,0.75,150.0,6.98,279.0,9.12,0.61,0.06,0.59,0.34,0.42,1.0
8.32,1.09,0.66,132.0,6.89,272.0,8.79,0.49,0.11,0.41,0.38,0.65,0.0
8.44,0.27,0.72,144.0,8.25,280.0,9.36,0.67,0.14,0.54,0.52,0.43,0.0
8.58,1.08,1.29,282.0,8.87,286.0,5.21,0.29,0.12,1.02,0.65,0.32,0.0
8.18,1.22,0.48,86.0,8.6,305.0,6.35,0.34,0.14,0.55,0.59,0.41,0.0
8.66,1.09,0.96,186.0,9.01,312.0,7.18,0.72,0.1,0.63,0.74,0.53,0.0
8.6,0.47,0.72,144.0,14.33,336.0,8.39,0.89,0.12,0.11,0.82,0.64,1.0
6.06,1.12,1.05,246.0,8.69,310.0,9.25,0.92,0.15,0.35,0.7,0.22,0.0
8.7,0.92,0.93,186.0,11.37,302.0,10.03,0.61,0.16,0.76,0.63,0.18,0.0
7.8,1.1,1.11,262.0,7.88,279.0,9.47,0.49,0.08,0.61,0.54,0.3,0.0
6.66,0.14,1.28,295.0,8.69,264.0,10.14,0.75,0.14,0.79,0.38,0.19,1.0
7.18,0.7,1.26,292.0,6.36,250.0,8.45,0.89,0.1,0.85,0.22,0.25,1.0
7.8,0.63,1.02,244.0,6.09,281.0,9.61,0.38,0.11,0.97,0.55,0.3,0.0
7.44,0.6,1.17,275.0,6.45,312.0,8.2,0.64,0.13,0.79,0.41,0.42,1.0
7.63,1.2,0.68,126.0,12.45,673.0,4.78,0.73,0.14,0.62,0.27,0.45,0.0
8.34,0.3,1.11,257.0,16.21,427.0,5.39,0.89,0.1,0.78,0.44,0.68,1.0
8.16,0.22,0.93,186.0,6.98,466.0,6.47,0.72,0.07,0.71,0.59,0.39,0.0
7.96,1.14,1.04,256.0,17.2,403.0,5.32,0.5,0.08,1.02,0.78,0.22,0.0
8.03,0.28,1.04,242.0,19.26,532.0,6.11,0.46,0.12,0.65,0.52,0.39,0.0
8.28,0.22,0.65,130.0,20.07,713.0,7.24,0.39,0.14,0.93,0.41,0.57,0.0
8.17,0.73,0.74,140.0,8.24,77.61,8.11,0.26,0.16,0.74,0.53,0.61,0.0
8.34,0.2,0.55,110.0,6.36,442.0,9.12,0.37,0.18,0.89,0.64,0.5,0.0
8.24,0.26,0.21,42.0,8.78,371.0,10.19,0.45,0.08,0.91,0.75,0.69,0.0
8.34,0.2,0.58,116.0,6.36,353.0,12.15,0.48,0.1,0.82,0.69,0.48,0.0
8.41,0.11,0.71,140.0,11.2,571.0,13.19,0.42,0.12,0.75,0.58,0.53,1.0
8.11,0.17,0.68,136.0,6.98,382.0,14.1,0.56,0.14,0.67,0.46,0.67,0.0
8.33,0.14,0.89,160.0,8.33,303.0,15.2,0.28,0.12,0.72,0.31,0.81,0.0
7.99,0.25,1.26,305.0,9.76,642.0,16.09,0.35,0.1,0.89,0.49,0.29,1.0
7.88,0.26,1.0,241.0,10.84,528.0,9.36,0.49,0.14,0.78,0.65,0.34,0.0
8.15,0.16,0.58,136.0,13.58,467.0,10.17,0.53,0.15,0.93,0.72,0.41,1.0
8.18,0.3,1.11,257.0,11.91,402.0,11.25,0.42,0.16,0.7,0.81,0.28,1.0
8.32,0.16,0.55,110.0,11.46,354.0,8.36,0.48,0.17,0.62,0.7,0.12,0.0
7.42,0.16,0.86,160.0,12.18,408.0,8.17,0.31,0.12,1.03,0.79,0.39,1.0
8.21,0.21,0.83,160.0,11.37,307.0,7.25,0.47,0.1,0.84,0.62,0.53,0.0
8.24,0.15,0.84,160.0,8.06,803.0,6.61,0.58,0.07,0.62,0.74,0.37,0.0
8.26,0.14,1.05,241.0,9.76,332.0,8.14,0.71,0.14,0.91,0.48,0.53,0.0
7.61,0.15,0.71,140.0,12.72,245.0,9.12,0.59,0.11,0.89,0.55,0.48,0.0
7.87,0.52,0.89,160.0,6.98,326.0,10.17,0.61,0.13,0.75,0.49,0.33,1.0
7.75,1.2,1.05,241.0,10.93,947.0,11.25,0.74,0.15,0.6,0.31,0.21,1.0
8.19,0.76,0.71,140.0,6.09,345.0,9.36,0.59,0.07,0.72,0.47,0.46,0.0
8.21,0.69,0.89,160.0,4.03,259.0,10.17,0.4,0.14,0.79,0.32,0.3,0.0
8.31,0.21,1.05,241.0,8.06,440.0,11.75,0.58,0.12,0.81,0.51,0.29,0.0
8.34,0.2,1.42,320.0,7.7,271.0,9.75,0.71,0.17,0.71,0.38,0.67,1.0
8.05,0.24,0.31,60.0,6.98,463.0,5.1,0.55,0.12,0.65,0.37,0.59,0.0
8.02,0.3,0.86,160.0,7.8,491.0,6.77,0.62,0.1,0.89,0.55,0.52,0.0
8.14,0.27,0.83,160.0,6.92,350.0,8.02,0.79,0.06,0.63,0.47,0.41,0.0
8.22,0.33,0.99,188.0,11.2,420.0,7.61,0.63,0.1,0.51,0.34,0.3,1.0
8.32,0.2,1.14,257.0,11.3,299.0,9.25,0.64,0.1,0.82,0.79,0.2,1.0
0.26,0.26,0.89,160.0,16.24,539.0,10.11,0.52,0.09,0.91,0.65,0.27,1.0
8.04,0.34,0.43,80.0,18.2,778.0,8.27,0.49,0.08,0.74,0.6,0.38,0.0
7.56,0.17,0.99,180.0,9.31,251.0,6.25,0.38,0.14,1.02,0.72,0.41,0.0
8.2,0.12,1.2,281.0,8.3,382.0,8.47,0.74,0.15,0.79,0.51,0.54,1.0
8.16,0.17,0.49,80.18,7.92,435.0,9.35,0.61,0.12,0.92,0.43,0.67,0.0
8.26,0.31,0.52,104.0,6.58,306.0,10.41,0.52,0.1,0.75,0.69,0.79,0.0
8.14,0.18,0.74,148.0,7.74,284.0,11.35,0.34,0.09,0.68,0.72,0.62,0.0
8.19,0.51,0.99,180.0,11.2,372.0,12.36,0.69,0.14,0.81,0.54,0.74,1.0
8.16,0.77,1.05,242.0,16.34,359.0,9.55,0.85,0.16,0.75,0.48,0.81,1.0
7.91,0.86,0.8,160.0,6.27,441.0,10.02,0.61,0.21,0.66,0.71,0.46,0.0
7.7,1.21,1.17,274.0,5.55,447.0,11.09,0.54,0.12,0.79,0.68,0.27,0.0
8.15,0.34,1.11,252.0,8.24,298.0,7.35,0.42,0.1,0.81,0.71,0.35,0.0
8.28,0.15,0.21,40.0,7.34,523.0,8.14,0.37,0.12,0.74,0.54,0.43,0.0
8.28,0.19,0.86,160.0,6.36,518.0,9.25,0.29,0.14,0.65,0.41,0.67,0.0
8.13,0.21,0.55,110.0,6.27,579.0,5.25,0.22,0.1,0.72,0.34,0.48,0.0
8.34,0.17,1.24,271.0,5.58,503.0,6.18,0.37,0.12,0.81,0.62,0.51,0.0
8.21,0.18,0.37,70.14,8.24,469.0,7.35,0.41,0.08,0.69,0.57,0.29,0.0
7.91,0.32,0.93,180.0,7.34,507.0,8.49,0.48,0.07,0.54,0.54,0.32,0.0
7.73,1.2,1.2,260.0,6.36,1277.0,9.45,0.29,0.1,0.48,0.61,0.47,0.0
8.16,0.44,0.8,160.0,4.92,322.0,10.11,0.35,0.12,0.61,0.72,0.62,0.0
7.83,0.21,1.02,241.0,6.36,578.0,9.3,0.48,0.16,0.79,0.37,0.29,0.0
8.03,0.59,1.2,260.0,7.07,349.0,10.41,0.54,0.14,0.57,0.34,0.3,0.0
8.28,0.24,0.68,120.0,13.35,986.0,9.55,0.61,0.1,0.48,0.57,0.75,1.0
7.82,0.17,0.93,180.0,7.25,279.0,10.02,0.59,0.07,0.51,0.48,0.31,0.0
8.11,0.26,1.04,256.0,4.65,326.0,8.36,0.55,0.1,0.75,0.61,0.18,0.0
7.86,1.13,0.74,140.0,4.03,405.0,9.45,0.7,0.12,0.46,0.72,0.27,0.0
8.04,0.29,0.21,40.02,5.91,660.0,10.14,0.51,0.14,0.34,0.89,0.59,0.0
8.34,0.18,0.58,110.0,8.78,223.0,5.89,0.48,0.16,0.71,0.67,0.55,0.0
8.29,0.19,0.68,120.0,11.03,340.0,6.45,0.34,0.11,0.69,0.41,0.49,0.0
8.32,0.36,0.89,160.0,2.06,232.0,4.21,0.46,0.08,0.72,0.61,0.32,0.0
8.41,0.22,1.7,320.0,4.03,424.0,5.29,0.72,0.1,0.81,0.63,0.49,1.0
8.42,0.15,0.58,106.0,5.91,277.0,6.18,0.69,0.12,0.64,0.55,0.54,0.0
8.52,0.28,0.55,110.0,8.78,286.0,7.35,0.57,0.14,0.52,0.41,0.62,0.0
8.33,0.28,0.83,160.0,10.03,387.0,8.14,0.71,0.08,0.41,0.57,0.58,1.0
8.45,0.17,0.82,160.0,6.02,331.0,9.11,0.84,0.16,0.75,0.49,0.49,0.0
8.22,0.26,0.86,160.0,6.0,220.0,5.25,0.39,0.14,0.89,0.54,0.56,0.0
7.65,0.15,0.84,162.0,7.34,229.0,6.18,0.45,0.12,0.63,0.58,0.42,0.0
8.08,0.22,0.71,140.0,7.88,242.0,7.19,0.52,0.1,0.74,0.61,0.38,0.0
8.22,0.14,0.31,6.02,6.72,337.0,5.35,0.71,0.07,0.81,0.52,0.28,0.0
7.71,0.14,0.83,160.0,5.46,412.0,6.39,0.69,0.1,0.79,0.47,0.32,0.0
7.94,0.45,0.99,180.0,8.78,254.0,5.18,0.83,0.12,0.5,0.37,0.21,0.0
8.27,0.15,0.86,160.0,6.89,728.0,6.25,0.74,0.21,0.67,0.49,0.18,0.0
8.04,0.34,0.31,60.02,3.76,517.0,7.11,0.68,0.17,0.69,0.38,0.19,0.0
8.29,0.15,0.89,160.0,8.06,520.0,4.89,0.51,0.09,0.73,0.57,0.24,0.0
7.98,0.81,0.89,160.0,10.3,598.0,3.17,0.52,0.1,0.81,0.63,0.37,0.0
8.23,0.24,0.43,80.6,7.88,455.0,5.24,0.47,0.12,0.62,0.74,0.29,0.0
8.62,0.24,0.99,180.0,9.13,335.0,6.18,0.39,0.14,0.74,0.61,0.22,0.0
8.16,0.16,0.43,80.6,7.79,398.0,9.61,0.53,0.09,0.89,0.48,0.18,0.0
8.22,0.16,0.52,110.0,6.09,140.0,8.09,0.74,0.13,0.68,0.52,0.14,0.0
8.2,0.14,0.74,140.0,6.45,303.0,9.72,0.61,0.16,0.52,0.79,0.29,0.0
8.11,0.16,0.99,180.0,6.8,344.0,10.17,0.42,0.12,0.74,0.69,0.34,0.0
8.24,0.21,0.8,160.0,7.7,417.0,9.1,0.33,0.09,0.5,0.42,0.47,0.0
8.11,0.64,0.21,40.0,6.0,395.0,8.25,0.61,0.13,0.75,0.48,0.36,0.0
8.32,0.22,0.86,160.0,7.7,352.0,7.62,0.72,0.17,0.68,0.37,0.53,0.0
8.45,0.19,0.55,110.0,5.73,423.0,6.09,0.46,0.15,0.79,0.61,0.48,0.0
8.11,0.21,0.37,60.14,6.98,200.0,7.35,0.53,0.12,0.64,0.39,0.39,0.0
8.12,0.13,0.93,180.0,12.18,268.0,6.11,0.21,0.09,0.48,0.26,0.45,0.0
7.85,0.65,0.8,160.0,9.94,267.0,7.54,0.38,0.07,1.12,0.47,0.52,0.0
8.19,0.23,0.52,110.0,17.54,316.0,8.09,0.41,0.11,0.75,0.59,0.47,0.0
8.29,0.44,0.38,76.0,5.64,329.0,4.17,0.63,0.12,0.61,0.42,0.22,0.0
8.41,0.22,0.52,110.0,7.09,807.0,5.25,0.71,0.09,0.79,0.35,0.18,0.0
8.12,0.2,0.28,56.0,7.52,312.0,6.18,0.74,0.13,0.82,0.79,0.35,0.0
7.98,0.25,0.52,110.0,4.83,414.0,7.35,0.35,0.07,0.94,0.72,0.42,0.0
8.38,0.52,0.62,120.0,8.24,339.0,8.14,0.41,0.12,1.1,0.61,0.68,0.0
8.3,0.23,0.61,120.0,8.78,402.0,9.31,0.52,0.14,0.73,0.35,0.51,0.0
8.3,0.26,0.57,110.0,6.98,435.0,7.45,0.64,0.06,0.61,0.53,0.47,0.0
8.5,0.42,0.58,116.0,6.09,451.0,6.33,0.69,0.13,0.77,0.74,0.54,0.0
8.26,0.19,0.12,24.0,8.06,510.0,7.15,0.52,0.12,0.79,0.65,0.67,0.0
8.29,0.23,0.75,150.0,7.52,408.0,8.19,0.74,0.1,1.35,0.47,0.39,0.0
8.36,0.19,0.68,120.0,4.03,421.0,7.33,0.61,0.11,1.03,0.54,0.38,0.0
8.33,0.2,0.98,180.0,12.45,302.0,5.14,0.58,0.07,0.67,0.72,0.44,0.0
8.27,0.22,0.75,150.0,11.2,315.0,3.61,0.67,0.12,0.9,0.46,0.5,1.0
8.3,0.23,0.89,160.0,9.76,371.0,4.48,0.32,0.14,0.88,0.39,0.45,0.0
8.32,0.21,0.22,40.0,13.88,304.0,7.35,0.52,0.12,1.02,0.64,0.3,0.0
8.37,0.24,0.35,70.0,8.06,282.0,5.41,0.47,0.07,0.89,0.72,0.18,0.0
8.36,0.37,0.38,60.0,6.98,247.0,6.47,0.32,0.14,0.82,0.64,0.28,0.0
7.98,0.32,0.41,80.0,6.09,319.0,8.61,0.41,0.08,0.79,0.57,0.49,0.0
8.12,0.34,0.35,70.0,7.52,345.0,9.72,0.32,0.1,1.03,0.49,0.54,0.0
8.37,0.25,0.38,78.0,4.03,402.0,8.09,0.46,0.12,0.62,0.75,0.61,0.0
8.36,0.37,0.4,60.0,6.98,349.0,7.61,0.57,0.16,0.69,0.54,0.38,0.0
7.98,0.32,0.33,60.0,9.76,248.0,6.25,0.64,0.08,1.12,0.39,0.21,0.0
8.12,0.24,0.45,90.0,6.98,309.0,5.02,0.7,0.12,0.78,0.22,0.18,0.0
8.37,0.25,0.68,120.0,7.42,325.0,4.11,0.62,0.1,0.95,0.37,0.34,0.0
8.32,0.18,0.95,180.0,6.99,214.0,2.89,0.78,0.07,0.98,0.49,0.49,0.0
8.21,0.21,0.42,80.0,5.2,312.0,3.35,0.63,0.14,1.14,0.58,0.52,0.0
8.68,0.3,0.68,120.0,4.47,379.0,4.02,0.49,0.09,0.72,0.63,0.45,0.0
8.18,0.41,0.97,180.0,9.21,402.0,5.63,0.52,0.16,0.88,0.79,0.49,0.0
8.19,0.42,1.0,241.0,11.09,352.0,6.35,0.37,0.1,0.7,0.94,0.54,0.0
8.22,0.35,0.32,60.0,6.36,312.0,7.35,0.64,0.12,1.09,0.72,0.22,0.0
8.27,0.81,0.48,80.0,8.78,409.0,8.14,0.48,0.1,0.7,0.6,0.41,0.0
8.05,0.31,0.98,180.0,6.36,309.0,9.36,0.72,0.06,0.63,0.44,0.57,0.0
8.2,0.24,0.21,40.0,11.2,294.0,6.29,0.81,0.14,0.79,0.52,0.64,0.0
8.31,0.18,0.28,50.0,6.98,386.0,5.02,0.79,0.16,0.81,0.64,0.72,0.0
8.22,0.43,0.31,60.0,10.93,312.0,6.44,0.62,0.1,0.95,0.71,0.84,0.0
8.17,0.2,0.39,78.0,6.09,348.0,8.61,0.47,0.08,0.72,0.84,0.61,0.0
8.2,0.43,0.45,90.0,8.06,335.0,9.25,0.62,0.11,0.68,0.96,0.43,0.0
8.14,0.54,0.58,116.0,7.7,403.0,10.17,0.41,0.14,0.55,0.64,0.29,0.0
8.25,0.23,0.86,160.0,6.98,412.0,9.48,0.54,0.15,0.61,0.72,0.32,0.0
8.25,0.32,0.69,120.0,7.52,374.0,10.02,0.69,0.13,0.79,0.48,0.47,1.0
8.39,0.29,0.73,140.0,6.98,368.0,11.09,0.37,0.08,0.94,0.75,0.54,0.0
8.11,0.2,0.79,158.0,11.63,294.0,9.47,0.43,0.12,0.52,0.83,0.29,0.0
8.11,0.2,0.95,190.0,6.81,325.0,6.62,0.54,0.1,1.17,0.91,0.18,0.0
8.41,0.44,0.13,26.0,7.52,319.0,8.14,0.61,0.13,0.83,0.27,0.25,0.0
8.13,0.35,0.32,60.0,8.81,236.0,3.16,0.62,0.07,1.02,0.79,0.33,0.0
8.26,0.37,0.36,60.0,7.52,303.0,4.61,0.54,0.12,0.78,0.61,0.42,0.0
8.12,0.23,0.48,80.0,4.2,412.0,5.78,0.49,0.14,0.81,0.52,0.33,0.0
8.13,0.28,0.95,180.0,5.91,408.0,6.35,0.37,0.16,0.94,0.74,0.28,0.0
8.03,0.38,0.65,120.0,11.26,326.0,8.02,0.41,0.1,0.73,0.68,0.37,0.0
8.48,0.51,0.71,140.0,8.26,225.0,9.14,0.59,0.09,0.56,0.63,0.42,0.0
8.04,0.66,0.53,110.0,7.43,249.0,10.18,0.38,0.07,0.62,0.71,0.54,0.0
8.63,0.37,0.52,110.0,8.92,336.0,9.35,0.42,0.14,0.95,0.6,0.37,0.0
8.19,0.39,0.4,80.0,12.3,405.0,8.08,0.59,0.1,1.12,0.57,0.29,0.0
8.09,0.25,0.71,140.0,5.6,302.0,7.47,0.73,0.11,0.79,0.51,0.22,0.0
8.15,0.25,0.49,80.18,7.9,294.0,6.29,0.82,0.12,0.61,0.48,0.34,0.0
8.15,0.58,0.72,140.0,12.6,208.0,5.02,0.61,0.06,0.84,0.72,0.28,1.0
8.09,0.58,0.31,60.02,6.58,335.0,4.36,0.49,0.02,0.72,0.83,0.25,0.0
8.14,0.89,0.37,60.14,10.34,418.0,5.21,0.67,0.1,0.84,0.93,0.31,0.0
6.33,0.2,0.37,74.0,7.31,294.0,4.11,0.62,0.09,1.35,0.39,0.22,0.0
8.32,0.51,0.47,80.14,7.4,312.0,5.68,0.58,0.13,0.61,0.47,0.34,0.0
8.44,0.65,0.31,60.02,3.2,335.0,6.19,0.41,0.1,0.74,0.59,0.56,0.0
8.2,0.81,0.43,80.6,12.69,409.0,9.24,0.35,0.08,0.84,0.74,0.49,0.0
8.42,0.61,0.77,146.0,9.4,412.0,10.17,0.59,0.1,0.92,0.66,0.38,0.0
8.48,0.22,0.43,80.6,10.81,328.0,8.67,0.38,0.14,0.47,0.79,0.29,0.0
8.14,0.61,0.31,60.12,11.75,274.0,6.35,0.48,0.12,0.52,0.54,0.57,0.0
8.09,0.61,0.21,40.02,8.33,308.0,5.03,0.47,0.11,0.68,0.25,0.61,0.0
7.96,0.73,0.77,144.0,12.34,231.0,4.18,0.62,0.06,0.71,0.48,0.38,1.0
8.21,0.43,0.8,160.0,4.58,249.0,5.22,0.48,0.1,0.84,0.56,0.54,0.0
8.33,0.19,0.71,140.0,9.78,304.0,6.37,0.75,0.09,1.12,0.61,0.62,0.0
8.37,0.22,0.34,60.8,14.1,417.0,7.09,0.52,0.12,0.95,0.45,0.33,0.0
8.19,0.76,0.15,30.0,12.69,402.0,8.45,0.39,0.16,0.97,0.54,0.21,0.0
8.18,0.76,0.3,160.0,9.4,375.0,9.16,0.25,0.08,0.68,0.82,0.35,0.0
8.47,0.3,0.65,130.0,130.0,307.0,5.04,0.49,0.11,0.75,0.71,0.42,0.0
8.18,0.76,0.15,30.0,6.25,282.0,5.35,0.74,0.06,1.03,0.62,0.36,0.0
8.16,0.33,0.43,80.6,14.85,317.0,6.18,0.62,0.14,0.74,0.53,0.42,0.0
8.22,0.36,0.43,80.6,4.87,325.0,5.31,0.83,0.12,0.89,0.75,0.35,0.0
7.92,0.85,0.12,24.0,5.53,412.0,7.34,0.67,0.09,0.94,0.61,0.41,0.0
8.31,0.28,0.43,80.6,6.9,327.0,8.12,0.46,0.11,1.25,0.79,0.57,0.0
8.16,0.46,0.15,30.0,8.27,229.0,9.02,0.35,0.16,0.75,0.94,0.68,0.0
8.01,0.98,0.68,120.0,9.81,312.0,10.34,0.78,0.12,0.69,0.89,0.64,0.0
8.74,0.35,0.49,80.18,7.83,408.0,5.21,0.65,0.09,0.78,0.48,0.41,0.0
8.52,0.36,0.55,110.0,4.58,337.0,6.35,0.42,0.06,0.82,0.51,0.52,0.0
8.06,0.37,0.45,90.0,7.28,372.0,3.17,0.27,0.07,0.94,0.67,0.47,0.0
8.15,0.72,0.15,30.0,5.53,361.0,4.31,0.39,0.1,0.75,0.46,0.35,0.0
8.66,0.24,0.09,18.0,5.35,289.0,5.95,0.62,0.12,0.63,0.82,0.18,0.0
8.71,0.22,0.62,120.0,9.28,314.0,6.12,0.41,0.14,0.45,0.48,0.27,0.0
8.08,0.67,0.34,60.8,11.42,378.0,7.35,0.54,0.12,1.09,0.75,0.59,0.0
8.09,0.88,0.47,80.14,6.58,412.0,8.03,0.25,0.69,0.65,0.61,0.62,0.0
7.91,0.89,0.5,100.0,7.58,272.0,3.16,0.54,0.12,1.02,0.69,0.31,0.0
8.15,0.52,0.54,110.0,8.68,313.0,4.35,0.47,0.11,0.84,0.75,0.28,0.0
8.02,0.48,1.39,302.0,7.53,379.0,5.61,0.32,0.09,0.91,0.62,0.57,0.0
8.35,0.47,0.76,140.0,11.2,295.0,6.46,0.51,0.13,0.79,0.76,0.32,0.0
8.18,0.2,0.19,38.0,13.58,325.0,7.35,0.7,0.12,0.65,0.84,0.69,0.0
7.94,0.88,0.38,60.16,18.1,418.0,8.61,0.56,0.13,0.74,0.96,0.34,0.0
7.51,1.21,0.91,6.8,6.14,152.0,5.11,0.26,0.12,0.68,0.65,0.25,0.0
8.56,0.44,0.03,6.0,13.58,321.0,6.48,0.52,0.1,0.42,0.68,0.39,0.0
8.62,0.57,0.54,100.0,10.82,418.0,7.11,0.64,0.06,0.79,0.73,0.42,1.0
8.61,0.57,0.6,120.0,5.4,236.0,4.18,0.31,0.1,0.63,0.49,0.54,0.0
8.66,0.21,0.79,158.0,6.0,328.0,5.85,0.35,0.23,0.85,0.32,0.56,0.0
7.99,0.25,1.71,314.0,9.7,375.0,4.08,0.47,0.12,0.61,0.5,0.48,0.0
8.19,0.9,0.15,30.0,7.11,331.0,5.31,0.72,0.06,0.57,0.63,0.38,0.0
8.66,0.54,0.39,60.16,4.11,249.0,6.02,0.41,0.07,0.61,0.72,0.23,0.0
8.31,0.54,0.56,110.0,8.7,302.0,7.1,0.35,0.1,0.75,0.81,0.18,0.0
7.99,1.0,0.36,60.12,6.36,279.0,4.25,0.59,0.12,1.25,0.48,0.32,0.0
8.29,0.46,0.76,142.0,6.7,314.0,5.18,0.78,0.07,0.89,0.32,0.4,0.0
8.29,0.46,0.36,180.0,8.6,325.0,6.47,0.62,0.14,0.57,0.5,0.44,0.0
8.36,0.43,0.56,110.0,5.63,371.0,8.02,0.54,0.12,0.61,0.79,0.39,0.0
8.39,0.43,0.75,150.0,7.58,217.0,9.17,0.32,0.06,0.54,0.47,0.28,0.0
8.61,0.32,0.38,60.16,3.8,302.0,7.21,0.34,0.1,0.8,0.51,0.59,0.0
7.87,1.83,0.69,128.0,6.92,316.0,6.09,0.41,0.12,0.79,0.32,0.35,0.0
7.99,1.0,0.7,140.0,7.28,291.0,7.35,0.65,0.11,0.62,0.49,0.54,0.0
8.29,0.46,0.98,186.0,9.81,304.0,8.11,0.77,0.14,0.47,0.54,0.59,0.0
8.29,0.46,0.77,154.0,7.78,312.0,9.26,0.52,0.06,0.54,0.61,0.31,0.0
8.36,0.43,0.83,160.0,3.8,339.0,10.09,0.31,0.1,0.89,0.72,0.25,0.0
8.39,0.43,0.87,160.0,11.2,271.0,8.02,0.49,0.12,0.72,0.88,0.27,0.0
8.61,0.32,0.95,180.0,12.58,283.0,7.35,0.36,0.09,0.61,1.09,0.44,0.0
7.87,1.83,0.68,120.0,6.3,317.0,6.11,0.57,0.12,0.89,0.65,0.52,0.0
7.8,0.9,0.98,180.0,8.9,325.0,7.25,0.61,0.06,0.47,0.7,0.38,0.0
8.7,0.35,0.77,140.0,8.57,236.0,3.29,0.42,0.12,1.36,0.68,0.39,0.0
8.03,0.25,0.31,60.0,7.43,312.0,4.18,0.51,0.1,0.89,0.74,0.48,0.0
8.29,0.47,0.77,140.0,8.99,368.0,5.35,0.47,0.09,0.75,0.65,0.52,0.0
8.27,1.16,0.43,80.6,4.89,309.0,6.18,0.36,0.07,0.84,0.51,0.65,0.0
8.26,0.44,0.21,40.02,6.13,275.0,7.36,0.61,0.14,0.91,0.44,0.37,0.0
8.26,1.21,0.8,160.0,6.76,194.0,8.24,0.79,0.16,0.88,0.38,0.41,0.0
8.02,0.98,0.35,70.0,8.57,318.0,9.02,0.65,0.11,0.69,0.46,0.29,0.0
8.06,1.54,0.68,135.0,7.43,326.0,10.11,0.42,0.03,0.74,0.57,0.18,0.0
7.88,0.92,0.69,138.0,8.99,418.0,7.45,0.4,0.12,0.61,0.69,0.34,0.0
8.25,0.74,0.7,140.0,14.89,329.0,6.36,0.34,0.16,0.58,0.45,0.55,0.0
8.19,1.0,0.71,140.0,13.62,291.0,5.29,0.29,0.09,0.47,0.51,0.61,0.0
8.06,1.64,0.89,180.0,8.92,395.0,4.7,0.68,0.1,0.89,0.44,0.37,0.0
